condition,condition_label,source_index,audio,qid,display_index,page,cooldown_block,audio_filename,selected_source_path,selected_item_id,selected_method,selected_direction,selected_source_accent,selected_target_accent,selected_source_speaker_id,selected_utterance_id,selected_target_ref_id,selected_phonos_run,selected_accent_pred_label,selected_expected_tgt_label,selected_recall_tgt_hit,selected_nisqa_mos
original,Original speech,9,audio/original_09.wav,Q037,37,8,3,original_09.wav,/data/waris/code/PHONOSv2/evaluation/final/american/1919/wav/1919-142785-0013.wav,gt::american::1919-142785-0013,original,reference,american,american,1919,1919-142785-0013,,,,,,
TVTSyn,TVTSyn,10,audio/TVTSyn_10.wav,Q038,38,8,3,TVTSyn_10.wav,/data/waris/code/PHONOSv2/evaluation/generated_samples/tvtsyn_reconstruction/full/spanish/EN_mKztA94WeYA_SPEAKER_00/EN_mKztA94WeYA_W000019.wav,tvtsyn::spanish::EN_mKztA94WeYA_SPEAKER_00::EN_mKztA94WeYA_W000019,TVTSyn,reconstruction,spanish,spanish,EN_mKztA94WeYA_SPEAKER_00,EN_mKztA94WeYA_W000019,,,,,,
seedvc,SeedVC,11,audio/seedvc_11.wav,Q039,39,8,3,seedvc_11.wav,/data/waris/code/PHONOSv2/evaluation/generated_samples/seedvc/full/ame2bri/slr83_southern_female_sof_04415/7176/7176-92135-0022.wav,seedvc::ame2bri::slr83_southern_female_sof_04415::7176::7176-92135-0022,seedvc,ame2bri,ame,bri,7176,7176-92135-0022,slr83_southern_female_sof_04415,,,,,
TVTSyn,TVTSyn,11,audio/TVTSyn_11.wav,Q040,40,8,3,TVTSyn_11.wav,/data/waris/code/PHONOSv2/evaluation/generated_samples/tvtsyn_reconstruction/full/british/f_06136/sof_06136_02138974544.wav,tvtsyn::british::f_06136::sof_06136_02138974544,TVTSyn,reconstruction,british,british,f_06136,sof_06136_02138974544,,,,,,
TVTSyn,TVTSyn,12,audio/TVTSyn_12.wav,Q041,41,9,3,TVTSyn_12.wav,/data/waris/code/PHONOSv2/evaluation/generated_samples/tvtsyn_reconstruction/full/american/84/84-121123-0022.wav,tvtsyn::american::84::84-121123-0022,TVTSyn,reconstruction,american,american,84,84-121123-0022,,,,,,
PHONOS,PHONOS,10,audio/PHONOS_10.wav,Q042,42,9,3,PHONOS_10.wav,/data/waris/code/PHONOSv2/evaluation/generated_samples/phonos/full_r1/ame2bri/slr83_southern_female_sof_03397/1462/1462-170142-0034.wav,phonos::ame2bri::slr83_southern_female_sof_03397::1462-170142-0034,PHONOS,ame2bri,american,british,1462,1462-170142-0034,slr83_southern_female_sof_03397,full_r1,british_isles,british_isles,1,5.0630436
seedvc,SeedVC,12,audio/seedvc_12.wav,Q043,43,9,3,seedvc_12.wav,/data/waris/code/PHONOSv2/evaluation/generated_samples/seedvc/full/spn2ame/RMS/EN_tryCdbxPJqc_SPEAKER_05/EN_tryCdbxPJqc_W000179_0002.wav,seedvc::spn2ame::RMS::EN_tryCdbxPJqc_SPEAKER_05::EN_tryCdbxPJqc_W000179_0002,seedvc,spn2ame,spn,ame,EN_tryCdbxPJqc_SPEAKER_05,EN_tryCdbxPJqc_W000179_0002,RMS,,,,,
PHONOS,PHONOS,11,audio/PHONOS_11.wav,Q044,44,9,3,PHONOS_11.wav,/data/waris/code/PHONOSv2/evaluation/generated_samples/phonos/full/ame2bri/slr83_southern_female_sof_03397/8297/8297-275155-0023.wav,phonos::ame2bri::slr83_southern_female_sof_03397::8297-275155-0023,PHONOS,ame2bri,american,british,8297,8297-275155-0023,slr83_southern_female_sof_03397,full,british_isles,british_isles,1,5.0155015
TVTSyn,TVTSyn,13,audio/TVTSyn_13.wav,Q045,45,9,3,TVTSyn_13.wav,/data/waris/code/PHONOSv2/evaluation/generated_samples/tvtsyn_reconstruction/full/indian/S_020701/00275362_000029.v2.vad.wav,tvtsyn::indian::S_020701::00275362_000029.v2.vad,TVTSyn,reconstruction,indian,indian,S_020701,00275362_000029.v2.vad,,,,,,
original,Original speech,10,audio/original_10.wav,Q046,46,10,4,original_10.wav,/data/waris/code/PHONOSv2/evaluation/final/british/f_07060/wav/sof_07060_01152146696.wav,gt::british::sof_07060_01152146696,original,reference,british,british,f_07060,sof_07060_01152146696,,,,,,
TVTSyn,TVTSyn,14,audio/TVTSyn_14.wav,Q047,47,10,4,TVTSyn_14.wav,/data/waris/code/PHONOSv2/evaluation/generated_samples/tvtsyn_reconstruction/full/british/m_07508/som_07508_00738099498.wav,tvtsyn::british::m_07508::som_07508_00738099498,TVTSyn,reconstruction,british,british,m_07508,som_07508_00738099498,,,,,,
TVTSyn,TVTSyn,15,audio/TVTSyn_15.wav,Q048,48,10,4,TVTSyn_15.wav,/data/waris/code/PHONOSv2/evaluation/generated_samples/tvtsyn_reconstruction/full/british/f_03349/sof_03349_00636214660.wav,tvtsyn::british::f_03349::sof_03349_00636214660,TVTSyn,reconstruction,british,british,f_03349,sof_03349_00636214660,,,,,,
PHONOS,PHONOS,12,audio/PHONOS_12.wav,Q049,49,10,4,PHONOS_12.wav,/data/waris/code/PHONOSv2/evaluation/generated_samples/phonos/full/ind2ame/SLT/S_010668/00289362_000138.v2.vad.wav,phonos::ind2ame::SLT::00289362_000138.v2.vad,PHONOS,ind2ame,indian,american,S_010668,00289362_000138.v2.vad,SLT,full,north_american,north_american,1,4.936552
original,Original speech,11,audio/original_11.wav,Q050,50,10,4,original_11.wav,/data/waris/code/PHONOSv2/evaluation/final/american/2035/wav/2035-152373-0008.wav,gt::american::2035-152373-0008,original,reference,american,american,2035,2035-152373-0008,,,,,,
original,Original speech,12,audio/original_12.wav,Q051,51,11,4,original_12.wav,/data/waris/code/PHONOSv2/evaluation/final/spanish/EN_KettsRGcE68_SPEAKER_00/wav/EN_KettsRGcE68_W000021.wav,gt::spanish::EN_KettsRGcE68_W000021,original,reference,spanish,spanish,EN_KettsRGcE68_SPEAKER_00,EN_KettsRGcE68_W000021,,,,,,
seedvc,SeedVC,13,audio/seedvc_13.wav,Q052,52,11,4,seedvc_13.wav,/data/waris/code/PHONOSv2/evaluation/generated_samples/seedvc/full/ame2spn/ERMS/4970/4970-29095-0019.wav,seedvc::ame2spn::ERMS::4970::4970-29095-0019,seedvc,ame2spn,ame,spn,4970,4970-29095-0019,ERMS,,,,,
original,Original speech,13,audio/original_13.wav,Q053,53,11,4,original_13.wav,/data/waris/code/PHONOSv2/evaluation/final/indian/S_021581/wav/00305118_000073.v2.vad.wav,gt::indian::00305118_000073.v2.vad,original,reference,indian,indian,S_021581,00305118_000073.v2.vad,,,,,,
original,Original speech,14,audio/original_14.wav,Q054,54,11,4,original_14.wav,/data/waris/code/PHONOSv2/evaluation/final/spanish/EDACC-C27-B/wav/EDACC-C27-74.wav,gt::spanish::EDACC-C27-74,original,reference,spanish,spanish,EDACC-C27-B,EDACC-C27-74,,,,,,
PHONOS,PHONOS,13,audio/PHONOS_13.wav,Q055,55,11,4,PHONOS_13.wav,/data/waris/code/PHONOSv2/evaluation/generated_samples/phonos/full/ame2bri/slr83_southern_female_sof_03397/7976/7976-105575-0017.wav,phonos::ame2bri::slr83_southern_female_sof_03397::7976-105575-0017,PHONOS,ame2bri,american,british,7976,7976-105575-0017,slr83_southern_female_sof_03397,full,british_isles,british_isles,1,4.9993615
seedvc,SeedVC,14,audio/seedvc_14.wav,Q056,56,12,4,seedvc_14.wav,/data/waris/code/PHONOSv2/evaluation/generated_samples/seedvc/full/bri2ame/BDL/m_07508/som_07508_02122474951.wav,seedvc::bri2ame::BDL::m_07508::som_07508_02122474951,seedvc,bri2ame,bri,ame,m_07508,som_07508_02122474951,BDL,,,,,
original,Original speech,15,audio/original_15.wav,Q057,57,12,4,original_15.wav,/data/waris/code/PHONOSv2/evaluation/final/spanish/Portuguese_G00663/wav/G00663S2378.wav,gt::spanish::G00663S2378,original,reference,spanish,spanish,Portuguese_G00663,G00663S2378,,,,,,
seedvc,SeedVC,15,audio/seedvc_15.wav,Q058,58,12,4,seedvc_15.wav,/data/waris/code/PHONOSv2/evaluation/generated_samples/seedvc/full/spn2ame/SLT/EN_1w05IHEUhAM_SPEAKER_04/EN_1w05IHEUhAM_W000288_0002.wav,seedvc::spn2ame::SLT::EN_1w05IHEUhAM_SPEAKER_04::EN_1w05IHEUhAM_W000288_0002,seedvc,spn2ame,spn,ame,EN_1w05IHEUhAM_SPEAKER_04,EN_1w05IHEUhAM_W000288_0002,SLT,,,,,
PHONOS,PHONOS,14,audio/PHONOS_14.wav,Q059,59,12,4,PHONOS_14.wav,/data/waris/code/PHONOSv2/evaluation/generated_samples/phonos/full/ind2ame/SLT/S_017753/00326797_000007.v2.vad.wav,phonos::ind2ame::SLT::00326797_000007.v2.vad,PHONOS,ind2ame,indian,american,S_017753,00326797_000007.v2.vad,SLT,full,north_american,north_american,1,4.8984985
PHONOS,PHONOS,15,audio/PHONOS_15.wav,Q060,60,12,4,PHONOS_15.wav,/data/waris/code/PHONOSv2/evaluation/generated_samples/phonos/full_r1/ame2bri/slr83_southern_female_sof_03397/3752/3752-4943-0016.wav,phonos::ame2bri::slr83_southern_female_sof_03397::3752-4943-0016,PHONOS,ame2bri,american,british,3752,3752-4943-0016,slr83_southern_female_sof_03397,full_r1,british_isles,british_isles,1,4.955863
